"Table A8.  U.S. Holdings of Foreign Long-Term Debt Securities by Country and Security Type"
"As of End-December 2020"
"Millions of dollars"
"",""
"Country or region of issuer","Total","Straight debt","Zero-coupon","Convertible","Asset-backed"
"India",11111,10856,0,69,186
"Indonesia",38330,38317,"*",0,13
"Iraq",1747,1747,0,0,0
"Ireland",79599,63371,6078,129,10021
"Isle of Man",1208,1123,85,0,0
"Israel",23247,17382,4502,1363,0
"Italy",51426,50427,220,481,297
"Jamaica",1278,1274,4,0,0
"Japan",181575,179222,1627,68,658
"Jersey",10238,8248,49,440,1501
"Jordan",2752,2752,0,0,0
"Kazakhstan",4483,4483,0,0,0
"Kenya",1964,1964,0,0,0
"Korea, South",22145,22024,62,49,9
"Kuwait",1618,1618,0,0,0
"Laos",52,52,0,0,0
"Latvia",203,203,0,0,0
"Lebanon",346,346,0,0,0
"Liberia",4917,3751,16,1150,0
"Liechtenstein","*","*",0,0,0
"Lithuania",1011,1011,0,0,0
"Luxembourg",62781,60778,468,342,1194
"Macau",65,65,0,0,0
"Macedonia",230,230,0,0,0
"Malaysia",11356,11311,0,45,0
"Maldives",13,13,0,0,0
"Malta",218,216,0,2,0
"Marshall Islands",2608,2481,0,126,0
"Mauritius",1525,1524,0,"*",1
"Mexico",87551,86368,89,581,513
"Mongolia",725,725,0,0,0
"Montenegro (2)",38,38,0,0,0
"Morocco",2996,2996,0,0,0
"Mozambique",190,190,0,0,0
"Namibia",146,146,0,0,0
"Netherlands",196079,187414,4586,1903,2176
"New Zealand",11418,11344,0,61,13
"Nigeria",3074,3074,0,0,0
"Norway",29854,29716,2,41,95
"Oman",3161,3161,0,0,0
"Pakistan",974,974,0,0,0
"Panama",19910,19013,61,788,48
"Papua New Guinea",77,77,0,0,0
"Paraguay",2442,2442,0,0,0
"Peru",15374,15297,"*",0,77
"Philippines",8171,8171,0,0,0
"Poland",6217,6217,0,0,0
"Portugal",3630,3483,58,39,51
"Qatar",13524,13524,0,0,0
"Romania",8056,8056,0,0,0
"Russia",16611,16609,2,0,0
"Rwanda",125,125,0,0,0
"Saint Lucia",264,264,0,0,0
"Sint Maarten (2)",52,0,0,0,52
"Saudi Arabia",15509,15509,0,0,0
"Senegal",1081,1081,0,0,0
"Serbia (2)",2654,2654,0,0,0
"Seychelles",15,15,0,0,0
"Singapore",12482,12372,12,40,58
"Slovakia",654,575,78,0,0
"Slovenia",1356,1258,37,0,61
"South Africa",13525,13489,33,0,3
"Spain",47363,45810,6,1412,135
"Sri Lanka",1649,1647,0,0,2
"Suriname",119,119,0,0,0
"Sweden",27761,27068,512,181,"*"
"Switzerland",41356,34555,2240,4498,62
"Taiwan",109,82,0,27,0
"Tajikistan",34,34,0,0,0
"Thailand",6050,6050,0,1,0
"Togo",7,7,0,0,0
"Trinidad and Tobago",745,711,1,0,34
"Tunisia",1610,1610,0,0,"*"
"Turkey",12772,12705,1,22,44
"Turks and Caicos Islands",41,41,0,0,0
"Uganda",21,16,0,0,5
"Ukraine",8448,7809,640,0,0
"United Arab Emirates",15113,15113,0,0,0
"United Kingdom",435358,407002,8892,9781,9684
"Uruguay",6709,6709,0,0,0
"Uzbekistan",663,663,0,0,0
"Venezuela",759,756,0,0,3
"Vietnam",539,520,0,18,0
"Wallis and Futuna","*",0,0,0,"*"
"Zambia",272,272,0,0,0
"Zimbabwe",5,5,0,0,0
"International organizations",108403,102039,6364,0,0
""
"Total",3372933,2737157,102055,47568,486152
""
"Totals by region:"
"Total Africa",47844,46633,53,1150,9
"Total Asia",416150,407129,6230,1864,926
"Total Caribbean",605958,144588,9499,10495,441377
"Total Europe",1410892,1297329,63234,24519,25810
"Of which: Euro area countries (3)",762080,688030,50132,9524,14395
"Total Latin America",231675,222344,5595,2236,1501
"Canada",412247,382135,10869,4881,14363
"Total other countries",139764,134960,212,2425,2167
"International organizations",108403,102039,6364,0,0
""
""
""
""
